id,label,recruit_quota,applied_region
001012,中國文學系,21,"台北x23, 新北x4, 桃園x5, 新竹x6, 台中x11, 南投x1, 彰化x5, 雲林x1, 嘉義x4, 台南x3, 高雄x7, 屏東x2, 澎湖x7"
001602,護理學系(公費生),2,"台北x3, 桃園x1, 新竹x1, 台中x1, 宜蘭x1"
001592,生化科技學系,20,"台北x29, 新北x5, 基隆x1, 桃園x3, 新竹x2, 台中x3, 彰化x2, 雲林x1, 嘉義x1, 台南x1, 高雄x7, 澎湖x2"
001582,生命科學系,18,"台北x29, 新北x3, 桃園x2, 新竹x2, 台中x10, 嘉義x1, 台南x2, 高雄x4, 宜蘭x1"
001572,法律學系財經法學組,17,"台北x21, 桃園x1, 台中x3, 彰化x1, 台南x2, 高雄x5, 花蓮x2, 澎湖x2"
001562,法律學系司法組,17,"台北x24, 新北x1, 桃園x1, 台中x2, 彰化x2, 嘉義x1, 台南x3, 高雄x7, 宜蘭x1, 花蓮x1, 澎湖x6"
001552,法律學系法學組,16,"台北x23, 新北x2, 桃園x2, 台中x6, 彰化x3, 嘉義x1, 台南x2, 高雄x4, 宜蘭x1, 花蓮x1"
001542,資訊工程學系,74,"台北x105, 新北x13, 基隆x3, 桃園x14, 中壢x10, 新竹x17, 台中x23, 南投x1, 彰化x9, 雲林x2, 嘉義x2, 台南x10, 高雄x19, 屏東x3, 宜蘭x2, 花蓮x2, 澎湖x6, 金門x4"
001532,電機工程學系,94,"台北x105, 新北x14, 桃園x12, 中壢x4, 新竹x27, 苗栗x1, 台中x29, 彰化x3, 雲林x2, 嘉義x8, 台南x14, 高雄x22, 屏東x1, 宜蘭x2, 花蓮x3, 金門x1"
001522,公共衛生學系,21,"台北x37, 新北x6, 桃園x1, 中壢x2, 新竹x1, 苗栗x1, 台中x7, 彰化x4, 雲林x2, 嘉義x1, 台南x8, 高雄x6, 宜蘭x1, 花蓮x1"
001512,資訊管理學系,35,"台北x55, 新北x5, 基隆x2, 桃園x4, 新竹x6, 台中x9, 彰化x1, 嘉義x1, 台南x3, 高雄x5, 屏東x1, 花蓮x3"
001502,國際企業學系,47,"台北x55, 新北x1, 桃園x5, 中壢x2, 新竹x9, 台中x14, 彰化x2, 嘉義x1, 台南x5, 高雄x6, 宜蘭x2, 澎湖x6, 金門x4"
