Source,Target,Weight
001012,001032,16
001012,001022,7
001012,001082,3
001012,001162,3
001012,001062,3
001012,001422,3
001072,001012,3
001312,001592,10
001112,001592,9
001362,001592,9
001582,001592,8
001252,001592,6
001592,001132,5
001542,001592,5
001592,001342,3
001592,001282,3
001422,001592,3
001352,001592,3
001372,001592,3
001582,001282,9
001582,001372,8
001582,001592,8
001582,001402,6
001582,001352,5
001582,001412,5
001582,001522,4
001582,001382,4
001582,001272,3
001582,001342,3
001582,001132,3
001582,001292,3
001582,001452,3
001572,001562,23
001572,001552,18
001572,001492,16
001572,001482,10
001462,001572,7
001502,001572,7
001192,001572,6
001572,001022,6
001562,001552,28
001572,001562,23
001492,001562,8
001022,001562,6
001462,001562,6
001502,001562,6
001562,001482,4
001192,001562,4
001182,001562,3
001292,001562,3
001522,001562,3
001562,001552,28
001572,001552,18
001462,001552,6
001172,001552,6
001022,001552,6
001152,001552,3
001502,001552,3
001182,001552,3
001192,001552,3
001492,001552,3
001542,001302,67
001542,001532,55
001542,001312,33
001102,001542,24
001542,001332,24
001512,001542,19
001542,001092,14
001542,001292,12
001542,001492,11
001542,001482,11
001502,001542,10
001542,001432,9
001472,001542,8
001322,001542,8
001542,001192,7
001542,001132,6
001112,001542,5
001412,001542,5
001542,001592,5
001542,001122,3
001542,001152,3
001242,001542,3
001302,001532,61
001542,001532,55
001332,001532,54
001102,001532,52
001312,001532,30
001532,001492,21
001112,001532,8
001092,001532,7
001532,001482,7
001502,001532,7
001432,001532,6
001222,001532,6
001242,001532,5
001472,001532,4
001532,001132,3
001522,001192,9
001522,001402,7
001522,001272,6
001522,001282,5
001522,001292,5
001522,001392,4
001522,001422,4
001522,001022,4
001582,001522,4
001522,001312,3
001522,001562,3
001522,001342,3
001522,001262,3
001522,001372,3
001512,001302,26
001512,001542,19
001512,001192,18
001472,001512,16
001512,001312,15
001512,001292,11
001512,001502,11
001512,001482,9
001512,001462,9
001512,001422,6
001512,001322,6
001512,001492,5
001112,001512,3
001502,001492,47
001502,001462,44
001502,001192,38
001502,001482,35
001472,001502,15
001502,001022,12
001502,001512,11
001502,001542,10
001502,001532,7
001502,001172,7
001502,001572,7
001502,001562,6
001502,001302,4
001502,001422,4
001502,001312,4
001502,001552,3
001502,001492,47
001492,001482,27
001192,001492,25
001492,001532,21
001462,001492,19
001572,001492,16
001542,001492,11
001022,001492,11
001332,001492,9
001472,001492,9
001492,001562,8
001492,001132,7
001312,001492,6
001302,001492,5
001512,001492,5
001242,001492,4
001232,001492,4
001172,001492,3
001492,001552,3
001222,001492,3
001192,001482,44
001502,001482,35
001492,001482,27
001462,001482,26
001472,001482,11
001542,001482,11
001572,001482,10
001512,001482,9
001302,001482,8
001532,001482,7
001312,001482,6
001332,001482,5
001562,001482,4
001022,001482,4
001132,001482,4
001242,001482,3
001292,001482,3
001422,001482,3
001472,001512,16
001472,001502,15
001472,001462,14
001472,001192,13
001472,001482,11
001472,001492,9
001472,001542,8
001472,001302,7
001472,001422,7
001472,001532,4
001472,001332,4
001472,001022,3
001472,001312,3
001462,001502,44
001462,001192,34
001462,001482,26
001462,001492,19
001472,001462,14
001462,001512,9
001462,001572,7
001462,001552,6
001462,001562,6
001462,001022,5
001462,001422,5
001462,001172,3
001462,001292,3
001372,001452,7
001452,001402,6
001452,001342,4
001452,001362,4
001582,001452,3
001402,001442,7
001372,001442,5
001442,001342,5
001322,001432,9
001542,001432,9
001432,001302,9
001352,001432,6
001432,001532,6
001332,001432,4
001312,001432,4
001102,001432,4
001292,001432,4
001372,001432,3
001192,001432,3
001422,001192,7
001472,001422,7
001422,001142,6
001512,001422,6
001462,001422,5
001422,001082,5
001502,001422,4
001422,001402,4
001422,001372,4
001422,001022,4
001522,001422,4
001012,001422,3
001392,001422,3
001422,001592,3
001422,001342,3
001422,001212,3
001422,001482,3
001412,001382,5
001582,001412,5
001412,001542,5
001412,001312,3
001412,001272,3
001402,001342,20
001372,001402,15
001292,001402,8
001402,001442,7
001522,001402,7
001452,001402,6
